day_index,split_code,intercept,incentive,wip,no_of_workers,over_time,smv,style_change,series
35,0,1.1885393095176993,0.1674579845102262,0.46630577553964286,0.39030126325064857,-0.04520638340300907,-0.29502190832114544,0.02622095897736756,3__1
36,0,1.1560936210499257,0.17205547716359576,0.4611428581516631,0.39136715711418546,-0.045210951900478684,-0.29725616402464744,0.02572128552161826,3__1
37,0,1.1243928211496554,0.17660981641815068,0.4557404971949483,0.3924797883244128,-0.045212780574717365,-0.29947645133905165,0.02523126088851722,3__1
38,0,1.1130095535822147,0.17484543012408282,0.4540848155245542,0.3929186176761549,-0.04503654994782054,-0.3004119038861798,0.025075160892615855,3__1
39,0,1.098514848599009,0.1740837312538613,0.4516606900845083,0.39347492540737633,-0.04507621068558496,-0.3014972756782642,0.024852989657306652,3__1
40,1,1.0832038283827512,0.17527767640506509,0.44949083785312915,0.39401869934325034,-0.04418176400334127,-0.30284232247923715,0.024690047513966792,3__1
41,1,1.074362031003967,0.17416665352707222,0.45070856229975387,0.39372385366213064,-0.044237992996962495,-0.3031610784274331,0.024578759543940648,3__1
42,1,1.0604167077612336,0.17593609270987043,0.448887847063305,0.394178692681216,-0.04430928286200525,-0.3040539433795306,0.024130658907030225,3__1
43,1,1.0546727053815295,0.17689876751716468,0.44797311415421953,0.3943860243163726,-0.044328994902718494,-0.3044170921516963,0.02394766492565789,3__1
44,1,1.0488707742518,0.17690051014874678,0.44718755927004444,0.3945121361145786,-0.044351315511436756,-0.3047787512541426,0.02375305098273776,3__1
45,1,1.0434015947969155,0.17691394853454562,0.44632900948924387,0.3947288286241883,-0.04438269013124689,-0.30514413868961526,0.02356799211256651,3__1
46,1,1.0383381276585129,0.1769153436858123,0.4455555744605578,0.39495745177328057,-0.044410721374861684,-0.3054860289509705,0.02339795435096696,3__1
47,1,1.0334793251752854,0.17690524094297963,0.4448927097433796,0.39515695452328253,-0.044420566582361966,-0.3058086020793184,0.0232380927485219,3__1
48,1,1.0283925508309155,0.1765869667971027,0.4442393947691107,0.3952448287739374,-0.044430406091938004,-0.3061283077711976,0.0232896590268148,3__1
49,2,1.0261767416651153,0.17633007797767056,0.44392587068548195,0.3952914881402822,-0.04442813152760761,-0.3062760386093276,0.023314747165500006,3__1
50,2,1.0243944894603243,0.17611284721390277,0.4437021884498565,0.3953211096159838,-0.044432835653815075,-0.30638886182474445,0.023334386580959734,3__1
51,2,1.0175843692503426,0.1742430611828416,0.4429063098359071,0.39543326787453453,-0.04446206952881116,-0.3068353140600672,0.023427179012603924,3__1
52,2,1.0111118538824626,0.17246920501474772,0.4427240190192431,0.3954159224421353,-0.04440602823221209,-0.3072145933133011,0.023517853464454085,3__1
53,2,1.004124764198196,0.17079023371999905,0.4421728109376132,0.3955527289978861,-0.04445508006047192,-0.3076389480303304,0.02342442941113521,3__1
