series,team_display,department_display,driver,driver_value,current_value,unit,expected_productivity,ci80_lower,ci80_upper,ci95_lower,ci95_upper
8__0,Team 8,Finishing,SMV,5.526666666666666,2.8999999999999995,,0.6654918295530159,0.6284868844312159,0.7030660493823355,0.6043028821353946,0.7253071650182139
8__0,Team 8,Finishing,SMV,6.433333333333333,2.8999999999999995,,0.6558244495409469,0.6171912076351221,0.695770574265646,0.5921268391730817,0.7178225281534261
8__0,Team 8,Finishing,SMV,7.339999999999999,2.8999999999999995,,0.6471598878133842,0.6070502406667737,0.6880262127908793,0.5815702755402317,0.7117828289474993
8__0,Team 8,Finishing,SMV,8.246666666666666,2.8999999999999995,,0.6393064901891954,0.5975555827769846,0.681451826125703,0.5709393277747198,0.7063227884832329
8__0,Team 8,Finishing,SMV,9.153333333333332,2.8999999999999995,,0.6321234874874652,0.5889521810647239,0.6756556102335588,0.5628204137451793,0.7020453755451829
8__0,Team 8,Finishing,SMV,10.06,2.8999999999999995,,0.6255042962315394,0.5802463396668499,0.670090283790909,0.5548023124895233,0.6965865507758009
8__0,Team 8,Finishing,SMV,10.966666666666667,2.8999999999999995,,0.6193661876882367,0.5725589286003829,0.6660748953770814,0.5467766925879031,0.691991625149741
8__0,Team 8,Finishing,SMV,11.873333333333333,2.8999999999999995,,0.6136436064630802,0.5651418662680912,0.6614723679896211,0.5379220858943237,0.6894715094642782
8__0,Team 8,Finishing,SMV,12.78,2.8999999999999995,,0.6082836877886487,0.5588023436208469,0.6573703375673051,0.5315913683435597,0.6862868198483817
8__0,Team 8,Finishing,SMV,13.686666666666666,2.8999999999999995,,0.6032431555994986,0.5521734155979642,0.6534159647238751,0.5241767032411644,0.6827341281647085
8__0,Team 8,Finishing,SMV,14.593333333333334,2.8999999999999995,,0.598486118715279,0.5460082441530116,0.649781456893167,0.5171720312409747,0.679744140893013
8__0,Team 8,Finishing,SMV,15.5,2.8999999999999995,,0.5939824690115331,0.5400056822664793,0.6468759710431619,0.5107657750629598,0.6771807513617112
