series,day_index,split_code,team_display,department_display,no_of_style_change,is_burn_in,date,driver_code,influence,driver
11__1,14,0,Team 11,Sewing,0,False,2015-01-18,incentive,-0.1338857927389534,Incentive
11__1,15,0,Team 11,Sewing,0,False,2015-01-19,incentive,-0.1338488665020033,Incentive
11__1,16,0,Team 11,Sewing,0,False,2015-01-20,incentive,-0.1338242603590528,Incentive
11__1,17,0,Team 11,Sewing,0,False,2015-01-21,incentive,-0.1339066666953651,Incentive
11__1,18,0,Team 11,Sewing,0,False,2015-01-22,incentive,-0.1338558898298652,Incentive
11__1,19,0,Team 11,Sewing,0,False,2015-01-24,incentive,-0.1309174887968693,Incentive
11__1,20,0,Team 11,Sewing,0,False,2015-01-25,incentive,-0.1303932202851979,Incentive
11__1,21,0,Team 11,Sewing,0,False,2015-01-26,incentive,-0.1277677291457845,Incentive
11__1,22,0,Team 11,Sewing,0,False,2015-01-27,incentive,-0.1258599013913394,Incentive
11__1,23,0,Team 11,Sewing,0,False,2015-01-28,incentive,-0.1279116419865978,Incentive
11__1,24,0,Team 11,Sewing,0,False,2015-01-29,incentive,-0.1293452610556645,Incentive
11__1,25,0,Team 11,Sewing,0,False,2015-01-31,incentive,-0.1303767511981974,Incentive
11__1,26,0,Team 11,Sewing,0,False,2015-02-01,incentive,-0.1349809488600611,Incentive
11__1,27,0,Team 11,Sewing,0,False,2015-02-02,incentive,-0.1370514922697085,Incentive
11__1,28,0,Team 11,Sewing,0,False,2015-02-03,incentive,-0.1370085773654862,Incentive
11__1,29,0,Team 11,Sewing,0,False,2015-02-04,incentive,-0.1387771469936234,Incentive
11__1,30,0,Team 11,Sewing,0,False,2015-02-05,incentive,-0.139164665425657,Incentive
11__1,31,0,Team 11,Sewing,0,False,2015-02-07,incentive,-0.1379226201946817,Incentive
11__1,32,0,Team 11,Sewing,0,False,2015-02-08,incentive,-0.1365974580576846,Incentive
11__1,33,0,Team 11,Sewing,0,False,2015-02-09,incentive,-0.1358900963029856,Incentive
11__1,34,0,Team 11,Sewing,0,False,2015-02-10,incentive,-0.1342851438768032,Incentive
11__1,35,0,Team 11,Sewing,1,False,2015-02-11,incentive,-0.1290589038751013,Incentive
11__1,36,0,Team 11,Sewing,2,False,2015-02-12,incentive,-0.1214340746360557,Incentive
11__1,37,0,Team 11,Sewing,2,False,2015-02-14,incentive,-0.120299536308612,Incentive
11__1,38,0,Team 11,Sewing,2,False,2015-02-15,incentive,-0.1207190367191414,Incentive
11__1,39,0,Team 11,Sewing,2,False,2015-02-16,incentive,-0.1202478041462364,Incentive
11__1,40,0,Team 11,Sewing,2,False,2015-02-17,incentive,-0.1205057420452347,Incentive
11__1,41,1,Team 11,Sewing,2,False,2015-02-18,incentive,-0.121530870399752,Incentive
11__1,42,1,Team 11,Sewing,2,False,2015-02-19,incentive,-0.1217445644589731,Incentive
11__1,43,1,Team 11,Sewing,2,False,2015-02-22,incentive,-0.128351221261912,Incentive
11__1,44,1,Team 11,Sewing,2,False,2015-02-23,incentive,-0.140439244286756,Incentive
11__1,45,1,Team 11,Sewing,2,False,2015-02-24,incentive,-0.1399785282859893,Incentive
11__1,46,1,Team 11,Sewing,0,False,2015-02-25,incentive,-0.1382019235609102,Incentive
11__1,47,1,Team 11,Sewing,2,False,2015-02-26,incentive,-0.1363771035151572,Incentive
11__1,48,1,Team 11,Sewing,2,False,2015-02-28,incentive,-0.1360607840423748,Incentive
11__1,49,1,Team 11,Sewing,0,False,2015-03-01,incentive,-0.137677515974398,Incentive
11__1,50,2,Team 11,Sewing,0,False,2015-03-02,incentive,-0.1370388079593657,Incentive
11__1,51,2,Team 11,Sewing,0,False,2015-03-03,incentive,-0.1363954588182605,Incentive
11__1,52,2,Team 11,Sewing,0,False,2015-03-04,incentive,-0.1359302846007895,Incentive
11__1,53,2,Team 11,Sewing,0,False,2015-03-05,incentive,-0.1335255791781572,Incentive
11__1,54,2,Team 11,Sewing,0,False,2015-03-07,incentive,-0.1313343432001515,Incentive
