series,team_display,department_display,driver,effect_mean,effect80_lower,effect80_upper,current_value,range_low,range_high,unit,direction,confidence,strength,strength_rank
11__0,Team 11,Finishing,Workers,0.15278715432601597,0.11759863523356959,0.18906098513077363,9.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,2
11__0,Team 11,Finishing,WIP,0.15221685026796583,0.013174881778851176,0.29664752329536576,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Moderate,3
11__0,Team 11,Finishing,Incentive,0.08082890666641634,0.008510927601793028,0.14238431132523816,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
11__0,Team 11,Finishing,Style Changes,0.022150223501606725,0.00679718341893829,0.03746022960923128,0.0,0.0,2.0,,Supports,Clear,Smaller,5
11__0,Team 11,Finishing,Overtime,-0.012124582985892059,-0.01930694723681965,-0.00555118920853189,2399.999999999999,960.0,10368.0,min,Reduces,Clear,Smaller,6
11__1,Team 11,Sewing,Incentive,0.24126230595974263,0.20200904833855599,0.2808019678034793,50.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
11__1,Team 11,Sewing,WIP,0.23493201815029005,0.14559187617054062,0.3270444656914696,559.9999999999998,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
11__1,Team 11,Sewing,Workers,0.13425778901759872,0.0318699740387435,0.24665739389754107,56.999999999999986,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
11__1,Team 11,Sewing,SMV,-0.1260457996754693,-0.16463738991350613,-0.08759373689429896,10.410000000000002,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
11__1,Team 11,Sewing,Style Changes,0.02296329301526208,0.006920347873631516,0.03904763985967311,0.0,0.0,2.0,,Supports,Clear,Smaller,5
11__1,Team 11,Sewing,Overtime,-0.012333921667051918,-0.01944911986864928,-0.0056689450133937305,3420.0000000000027,960.0,10368.0,min,Reduces,Clear,Smaller,6
12__0,Team 12,Finishing,SMV,-0.14216463460007053,-0.19631947601961666,-0.08930870929732534,3.599999999999999,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,1
12__0,Team 12,Finishing,Workers,0.14049673871412172,0.10791249988545874,0.17199601083674376,8.000000000000005,7.000000000000002,58.000000000000014,workers,Supports,Clear,Strong,2
12__0,Team 12,Finishing,WIP,0.13321342169605677,-0.011123037552989844,0.28082819204907183,0.0,0.0,1502.8000000000002,pieces,Supports,Uncertain,Moderate,3
12__0,Team 12,Finishing,Incentive,0.08339946884536549,0.012767003366375809,0.14281473650912166,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
12__0,Team 12,Finishing,Style Changes,0.02144733077920806,0.006595274183088406,0.03632739880260979,0.0,0.0,2.0,,Supports,Clear,Smaller,5
12__0,Team 12,Finishing,Overtime,-0.011751416991119014,-0.018573978767961463,-0.00533264667867863,2159.9999999999973,960.0,10368.0,min,Reduces,Clear,Smaller,6
12__1,Team 12,Sewing,Incentive,0.2629926433035579,0.2139721164004838,0.31001259787808516,63.000000000000036,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
12__1,Team 12,Sewing,WIP,0.2358037356086993,0.1269608251048047,0.346151869925405,470.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
12__1,Team 12,Sewing,Workers,0.11122295093548336,0.030989674078988207,0.19775366534892586,33.00000000000001,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
12__1,Team 12,Sewing,SMV,-0.10248622283516061,-0.13281590332902676,-0.07085710222239797,14.26,1.8999999999999997,29.099999999999998,,Reduces,Clear,Moderate,4
12__1,Team 12,Sewing,Style Changes,0.01967567305840813,0.006049919800996884,0.03361163842816088,0.0,0.0,2.0,,Supports,Clear,Smaller,5
12__1,Team 12,Sewing,Overtime,-0.010649545671258774,-0.01662813380787098,-0.004861728330777262,4080.0000000000036,960.0,10368.0,min,Reduces,Clear,Smaller,6
1__0,Team 1,Finishing,SMV,-0.15981604229250077,-0.21835437441845154,-0.10273184838926801,2.9399999999999995,1.8999999999999997,29.099999999999998,,Reduces,Clear,Strong,1
1__0,Team 1,Finishing,WIP,0.15916772297629686,0.0012572865546516144,0.31725318198106195,0.0,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
1__0,Team 1,Finishing,Workers,0.15477338570878288,0.12040229565519193,0.18896965673040575,7.000000000000002,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
1__0,Team 1,Finishing,Incentive,0.10435233236570816,0.028622673577642282,0.17303608655591882,0.0,0.0,87.99999999999999,BDT,Supports,Clear,Moderate,4
1__0,Team 1,Finishing,Style Changes,0.024280220095925554,0.007457626473540613,0.040883538682185534,0.0,0.0,2.0,,Supports,Clear,Smaller,5
1__0,Team 1,Finishing,Overtime,-0.01321421095297177,-0.02069324133864455,-0.006010227318293852,1920.0000000000007,960.0,10368.0,min,Reduces,Clear,Smaller,6
1__1,Team 1,Sewing,Incentive,0.3046089762284707,0.2537608075272075,0.35384621679925754,45.0,0.0,87.99999999999999,BDT,Supports,Clear,Strong,1
1__1,Team 1,Sewing,WIP,0.22948124450299331,0.12362139091204195,0.33536746303998866,1322.0000000000005,0.0,1502.8000000000002,pieces,Supports,Clear,Strong,2
1__1,Team 1,Sewing,Workers,0.12435020903743894,0.0062361411815605085,0.2539712012619505,58.000000000000014,7.000000000000002,58.000000000000014,workers,Supports,Clear,Moderate,3
