feature,anova_f_score_train,anova_p_value_train,rank,selected
392,0.5938285971282402,0.4411088128548736,246,False
548,0.5839661248167151,0.444926696311274,247,False
62,0.5785912721810746,0.44702893502131014,248,False
224,0.56813848296653,0.4511617735631368,249,False
526,0.56001809436734,0.4544137972512844,250,False
254,0.5572626891469864,0.455525640350674,251,False
169,0.5545845492824726,0.45661041628259647,252,False
560,0.5499288364618214,0.45850593283360297,253,False
8,0.5456195624545588,0.46027151847594916,254,False
174,0.528636867605713,0.46733606528368665,255,False
172,0.5283800139628467,0.4674442408745524,256,False
83,0.5207604217507974,0.47067168767856227,257,False
362,0.5175218104415583,0.47205436663405875,258,False
168,0.5154552002234785,0.47294011282607973,259,False
285,0.5055371817769408,0.47722874209495647,260,False
305,0.4867326225076375,0.4855366808712217,261,False
321,0.48420541901414244,0.4866713770051785,262,False
288,0.46898712724538566,0.49359856680450676,263,False
547,0.4615935670627656,0.4970238759950145,264,False
11,0.45969240086921537,0.4979111367634833,265,False
105,0.45599548599378614,0.49964415504076565,266,False
559,0.45495492118904424,0.500133790309923,267,False
443,0.44720886835532425,0.5038044873319254,268,False
78,0.4444119697511165,0.5051411995294242,269,False
388,0.4330449592841213,0.5106370498349517,270,False
457,0.4258365678043963,0.5141760770797107,271,False
356,0.4213115310484827,0.5164195774523492,272,False
150,0.41931304775544537,0.5174158775499245,273,False
363,0.4171118448358067,0.5185171470396258,274,False
46,0.4157269390263884,0.5192121329978538,275,False
185,0.4125427069160225,0.5208163101652867,276,False
490,0.4107615411259251,0.5217174585773925,277,False
239,0.40896857218639654,0.5226273671335424,278,False
10,0.4072338092092624,0.5235104162279305,279,False
491,0.39823443711289425,0.5281342940133016,280,False
409,0.3934235685183426,0.5306361768360232,281,False
136,0.3899818285344887,0.5324391626115867,282,False
227,0.3743056685864489,0.5407937325185308,283,False
273,0.3685139413442572,0.5439413784521587,284,False
412,0.3566351916672702,0.5505045028788149,285,False
376,0.3535508126074713,0.5522328994448388,286,False
367,0.34860439767016943,0.5550261523635396,287,False
500,0.3467281988122368,0.5560926431636365,288,False
34,0.34402820755358937,0.5576342447165376,289,False
36,0.3440232722529933,0.5576370700400226,290,False
357,0.33416466856414273,0.5633359760932752,291,False
55,0.3245704148043862,0.5689908149423273,292,False
153,0.30798365160095104,0.5790335862096383,293,False
561,0.30585532236483604,0.5803477210293972,294,False
238,0.30578211409002526,0.580393029547488,295,False
29,0.3044894356162693,0.58119423586304,296,False
290,0.3037343892356469,0.5816632431581339,297,False
562,0.3020528385586474,0.5827104988192461,298,False
444,0.2999616191565094,0.5840182018408127,299,False
306,0.29746039318685796,0.5855901007326427,300,False
120,0.29719250256619223,0.5857589649835684,301,False
51,0.29361055007018744,0.5880263805759407,302,False
219,0.2886317553056891,0.5912079213625372,303,False
487,0.28649856552917546,0.5925819008356414,304,False
30,0.2855612120525324,0.5931877289662396,305,False
71,0.2808910066696362,0.5962253572355969,306,False
107,0.2795008154929001,0.5971358222668964,307,False
171,0.27139041383896517,0.6025060176606258,308,False
253,0.2697755283130943,0.6035874519440914,309,False
549,0.2689221499990422,0.6041605915475852,310,False
552,0.2640911698715093,0.6074270742826711,311,False
37,0.2617137238568629,0.6090484797825297,312,False
93,0.2609488976933073,0.6095720627515717,313,False
216,0.2591108503630142,0.6108343175566348,314,False
274,0.2563932964974569,0.6127109317036367,315,False
426,0.25563940369870897,0.6132337480465109,316,False
215,0.2527566983103079,0.6152418446830159,317,False
15,0.2510237326848736,0.616455945980932,318,False
82,0.2501934581809627,0.6170394881540571,319,False
173,0.2481108518612693,0.6185085524816645,320,False
116,0.24807581505056228,0.618533333087965,321,False
368,0.24579340839329414,0.6201523452448213,322,False
525,0.24531039011895517,0.6204961715722153,323,False
267,0.24380155780034668,0.6215729243866933,324,False
131,0.2421916062226079,0.6227264197468814,325,False
539,0.24002948899366117,0.6242830471372605,326,False
405,0.23550745077454063,0.6275670335551755,327,False
217,0.22152482961891848,0.6379743466093959,328,False
2,0.21541161130221487,0.6426508423475203,329,False
406,0.2082944655463601,0.648198072063904,330,False
106,0.2072080028453519,0.6490549218789211,331,False
353,0.18742316068771095,0.6651553423480796,332,False
523,0.1811404184642804,0.670478719794712,333,False
389,0.17962354879366438,0.6717802719429444,334,False
4,0.17879309627850645,0.6724955911627702,335,False
251,0.17700523966096152,0.674042253876591,336,False
140,0.1765420335889543,0.6744444691245364,337,False
275,0.1764886739174575,0.6744908427405859,338,False
223,0.1731992752944023,0.677365650779193,339,False
45,0.17161351450716922,0.6787629977584249,340,False
9,0.17147369149962197,0.6788865699817412,341,False
415,0.170210802900792,0.6800053639736743,342,False
94,0.1571598556966954,0.6918622558036578,343,False
139,0.15169704106292925,0.6969946559246205,344,False
568,0.148539212073647,0.7000101898417512,345,False
472,0.1465748587333148,0.7019046453095268,346,False
289,0.13923650782026084,0.7091134969587098,347,False
391,0.13908060522942375,0.7092689737683429,348,False
361,0.13033372110549238,0.7181559774593889,349,False
12,0.1235541137557301,0.7252789702527676,350,False
355,0.12025861202873075,0.7288208645903083,351,False
432,0.11701466916139991,0.7323608528960548,352,False
283,0.11639550237718074,0.7330427361023185,353,False
564,0.1121564421233343,0.7377664875067386,354,False
497,0.11078774421958378,0.7393128482030433,355,False
18,0.1104741349930043,0.7396686576896243,356,False
6,0.10209873510603981,0.749386465177435,357,False
544,0.10133728143990348,0.7502914665690511,358,False
524,0.09956330883945715,0.7524144920701588,359,False
421,0.09744358469142507,0.7549787566507156,360,False
439,0.09658806078822145,0.7560223655432289,361,False
495,0.09507883659146231,0.7578758183614749,362,False
148,0.09491926103954568,0.7580727297558527,363,False
354,0.09446513619509134,0.7586340998355698,364,False
84,0.08573592800501031,0.7697252183076075,365,False
54,0.08348846334617421,0.7726792010996826,366,False
3,0.0796774202785639,0.7777884287548857,367,False
41,0.07885637426918332,0.7789063371688851,368,False
142,0.07263951591633735,0.7875825404214836,369,False
522,0.07221028819212061,0.788196040195247,370,False
297,0.07124008034015022,0.789590011150242,371,False
35,0.06956742277270624,0.7920173283378812,372,False
1,0.06687812922290264,0.7959863087538916,373,False
287,0.06655662573085366,0.7964664589017973,374,False
366,0.06497265081546869,0.7988503032756452,375,False
152,0.06439384057347942,0.799729111373187,376,False
476,0.057454581917256844,0.8106101751371695,377,False
427,0.05274797213769178,0.8183917103655622,378,False
542,0.050890083142532405,0.821563772189078,379,False
311,0.05069829842730547,0.8218946581541539,380,False
39,0.04828258927101822,0.8261200981245531,381,False
154,0.04776238706026373,0.8270444239274607,382,False
77,0.04485182804802227,0.8323161677145938,383,False
473,0.043027097175681636,0.8357128624544181,384,False
38,0.04241946233351126,0.8368605891452184,385,False
